"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"
"population"	0.271254182091972	-0.319234190105492	0.341903043551433	-0.073379355387645	0.0901699915842799	-0.132726627077033	0.558075098775699	0.479275897911754	0.202025663584753	0.246836568390846	0.183263832292296
"pct_white"	-0.288296441211777	0.0206824542316928	0.0782082111330699	-0.554215321872789	-0.61151953551418	-0.2222499835242	-0.233898873986999	0.230165668921338	0.203241875773386	-0.0374560695737842	0.171580644812304
"pct_commute_drive"	-0.293202085493028	0.205104045753856	0.488306910583619	-0.12452304852495	0.170566290924312	0.399561430049781	0.117047644487827	-0.347246836680181	0.542086450546245	0.0149570249980815	-0.0301843308689988
"commute_time_mean"	-0.224847000564362	-0.409963238848528	-0.0205974529907992	0.465432213572561	0.169946965484652	-0.142304768461131	-0.404169385350355	0.120778032874228	0.401116782784972	-0.184081292136289	0.377450830704174
"median_income"	0.0666892356055612	-0.598569331557287	-0.0722598877234966	-0.18186983855417	-0.0285593264070017	0.0464301671811285	-0.060282027796902	-0.0465155842182546	0.208770564872601	-0.177365178273403	-0.717744103704749
"income_ratio"	0.209247388620126	0.423106584916992	-0.189112082684209	0.197134594180341	-0.0876354475334862	-0.535956589244689	0.233627747830477	-0.0721193091439999	0.490373856928567	-0.256027616803142	-0.204552446731621
"air_pollution"	0.155746511935229	-0.159744719598075	0.368069047258743	0.473785915006184	-0.639717588341639	-0.0326608753420472	0.0119340654250369	-0.347893129891264	-0.086717935952139	0.222010508684812	-0.0446171271507688
"segregation_white_non"	0.306076220305786	0.0228274154284884	0.391125236084097	-0.246832483978579	0.350161692229538	-0.482637855428034	-0.46273250057568	-0.226447128707418	-0.0609866083429272	0.256150111670733	-0.0400824840437659
"pct_rural"	-0.540530464652106	0.0939369440323814	-0.126899539393034	0.197245714397503	0.0775482987573622	-0.204034821815472	0.0080992117252766	0.184755224810479	0.0366373975730003	0.66314228449518	-0.347921365422288
"pct_voted"	-0.280053467695939	-0.33792282064914	-0.239503795539862	-0.209167154036434	0.0724371701061702	-0.328794249957085	0.400176658604431	-0.58829396604957	-0.0850708495534759	0.0366803229516288	0.2794616424033
"pct_stayed"	-0.412320280473548	0.0341228043628637	0.484988334199154	0.123826035952865	0.0912694200925527	-0.282739240662457	0.155254197942789	0.149176304701736	-0.399068408188112	-0.500545590693959	-0.183985176437841
